"year","scenario","variable","iter","value"
1982,"F.sq","fbar","1",0.202425996756105
1983,"F.sq","fbar","1",0.194917589634262
1984,"F.sq","fbar","1",0.20532105221692
1985,"F.sq","fbar","1",0.178654776108418
1986,"F.sq","fbar","1",0.211158007294972
1987,"F.sq","fbar","1",0.248517058157315
1988,"F.sq","fbar","1",0.26925042228766
1989,"F.sq","fbar","1",0.296541817029513
1990,"F.sq","fbar","1",0.246062681769274
1991,"F.sq","fbar","1",0.210937970802337
1992,"F.sq","fbar","1",0.150182140200628
1993,"F.sq","fbar","1",0.169210048856101
1994,"F.sq","fbar","1",0.148531700341622
1995,"F.sq","fbar","1",0.167622141408606
1996,"F.sq","fbar","1",0.229781355111393
1997,"F.sq","fbar","1",0.240396621191756
1998,"F.sq","fbar","1",0.28843964536043
1999,"F.sq","fbar","1",0.308538776089787
2000,"F.sq","fbar","1",0.40799801298956
2001,"F.sq","fbar","1",0.440369174945314
2002,"F.sq","fbar","1",0.44460335525547
2003,"F.sq","fbar","1",0.388173829405074
2004,"F.sq","fbar","1",0.406829620504929
2005,"F.sq","fbar","1",0.351361139476734
2006,"F.sq","fbar","1",0.338067739334404
2007,"F.sq","fbar","1",0.333980211037222
2008,"F.sq","fbar","1",0.362678833231753
2009,"F.sq","fbar","1",0.571564351554288
2010,"F.sq","fbar","1",0.506775293287497
2011,"F.sq","fbar","1",0.907552882954893
2012,"F.sq","fbar","1",1.0108916004385
2013,"F.sq","fbar","1",1.17261765160721
2014,"F.sq","fbar","1",1.6916523680244
2015,"F.sq","fbar","1",1.42753062841099
2016,"F.sq","fbar","1",1.37907351080522
2017,"F.sq","fbar","1",1.61571449167521
2018,"F.sq","fbar","1",1.42261477597404
2019,"F.sq","fbar","1",1.48234466353851
2020,"F.sq","fbar","1",1.37168068068068
2021,"F.sq","fbar","1",1.35585130272474
2022,"F.sq","fbar","1",1.34808848040342
2023,"F.sq","fbar","1",1.44662390046331
2024,"F.sq","fbar","1",1.69368156046686
2025,"F.sq","fbar","1",2.0900066850129
2026,"F.sq","fbar","1",2.80351356933973
2027,"F.sq","fbar","1",3.20403955400884
2028,"F.sq","fbar","1",3.9335240487917
2029,"F.sq","fbar","1",4.70832598174179
2030,"F.sq","fbar","1",6.41950540208869
2031,"F.sq","fbar","1",10
2032,"F.sq","fbar","1",10
2033,"F.sq","fbar","1",10
2034,"F.sq","fbar","1",10
2035,"F.sq","fbar","1",10
1975,"F.msy","ssb","1",551906.214637453
1976,"F.msy","ssb","1",594705.773817566
1977,"F.msy","ssb","1",615601.482745018
1978,"F.msy","ssb","1",568344.502742609
1979,"F.msy","ssb","1",577306.977943525
1980,"F.msy","ssb","1",614257.347045892
1981,"F.msy","ssb","1",722081.993900675
1982,"F.msy","ssb","1",710375.141487498
1983,"F.msy","ssb","1",697935.827563259
1984,"F.msy","ssb","1",684056.311560085
1985,"F.msy","ssb","1",577765.324066635
1986,"F.msy","ssb","1",517361.612339101
1987,"F.msy","ssb","1",465221.771129598
1988,"F.msy","ssb","1",468655.265326118
1989,"F.msy","ssb","1",479848.68889487
1990,"F.msy","ssb","1",463726.52945863
1991,"F.msy","ssb","1",433098.041869577
1992,"F.msy","ssb","1",400370.467991804
1993,"F.msy","ssb","1",405767.63959625
1994,"F.msy","ssb","1",364120.799531209
1995,"F.msy","ssb","1",313245.212874014
1996,"F.msy","ssb","1",276646.552396922
1997,"F.msy","ssb","1",244492.681502032
1998,"F.msy","ssb","1",189732.070854806
1999,"F.msy","ssb","1",169476.917645364
2000,"F.msy","ssb","1",132945.636080592
2001,"F.msy","ssb","1",124708.773241012
2002,"F.msy","ssb","1",132638.981716547
2003,"F.msy","ssb","1",137002.365105635
2004,"F.msy","ssb","1",144435.262500118
2005,"F.msy","ssb","1",130041.488930992
2006,"F.msy","ssb","1",138925.110708414
2007,"F.msy","ssb","1",140018.260463428
2008,"F.msy","ssb","1",153557.631156927
2009,"F.msy","ssb","1",149803.896843249
2010,"F.msy","ssb","1",149332.34291046
2011,"F.msy","ssb","1",160079.270981157
2012,"F.msy","ssb","1",162040.410929903
2013,"F.msy","ssb","1",182174.648149831
2014,"F.msy","ssb","1",199817.747854395
2015,"F.msy","ssb","1",173379.688708811
2016,"F.msy","ssb","1",163354.807719713
2017,"F.msy","ssb","1",175360.156252189
2018,"F.msy","ssb","1",187097.184769386
2019,"F.msy","ssb","1",237019.033922955
2020,"F.msy","ssb","1",298718.816761944
2021,"F.msy","ssb","1",381629.68994578
2022,"F.msy","ssb","1",464532.306729357
2023,"F.msy","ssb","1",498918.517205509
2024,"F.msy","ssb","1",504237.499772616
2025,"F.msy","ssb","1",497827.99206459
2026,"F.msy","ssb","1",467677.754145036
2027,"F.msy","ssb","1",446120.448155634
2028,"F.msy","ssb","1",416130.030447262
2029,"F.msy","ssb","1",394958.659335689
2030,"F.msy","ssb","1",393286.936625995
2031,"F.msy","ssb","1",377536.266714591
2032,"F.msy","ssb","1",378112.564224106
2033,"F.msy","ssb","1",369733.572222893
2034,"F.msy","ssb","1",377621.724162705
2035,"F.msy","ssb","1",381812.184693636
1975,"F.msy","catch","1",33887.17076
1976,"F.msy","catch","1",46985.34951
1977,"F.msy","catch","1",54576.48329
1978,"F.msy","catch","1",44820.34257
1979,"F.msy","catch","1",41362.20957
1980,"F.msy","catch","1",48593.03983
1981,"F.msy","catch","1",93559.14384
1982,"F.msy","catch","1",84687.75543
1983,"F.msy","catch","1",83926.9287
1984,"F.msy","catch","1",92723.70925
1985,"F.msy","catch","1",75520.79521
1986,"F.msy","catch","1",79547.10662
1987,"F.msy","catch","1",73428.22243
1988,"F.msy","catch","1",68191.01985
1989,"F.msy","catch","1",71097.69552
1990,"F.msy","catch","1",61881.51723
1991,"F.msy","catch","1",54138.19362
1992,"F.msy","catch","1",40049.74245
1993,"F.msy","catch","1",45885.19472
1994,"F.msy","catch","1",39142.88424
1995,"F.msy","catch","1",41128.88723
1996,"F.msy","catch","1",44309.77398
1997,"F.msy","catch","1",38522.33936
1998,"F.msy","catch","1",36138.84419
1999,"F.msy","catch","1",27949.14912
2000,"F.msy","catch","1",26107.09943
2001,"F.msy","catch","1",24138.39253
2002,"F.msy","catch","1",24100.78598
2003,"F.msy","catch","1",21620.4976
2004,"F.msy","catch","1",26929.89563
2005,"F.msy","catch","1",20906.72463
2006,"F.msy","catch","1",20475.45238
2007,"F.msy","catch","1",21984.36186
2008,"F.msy","catch","1",27583.67457
2009,"F.msy","catch","1",34163.69678
2010,"F.msy","catch","1",34213.8274
2011,"F.msy","catch","1",54816.06731
2012,"F.msy","catch","1",58732.69835
2013,"F.msy","catch","1",71643.24716
2014,"F.msy","catch","1",82538.66228
2015,"F.msy","catch","1",78012.42535
2016,"F.msy","catch","1",79405.17798
2017,"F.msy","catch","1",82538.66228
2018,"F.msy","catch","1",32447.9730071621
2019,"F.msy","catch","1",35886.1739777904
2020,"F.msy","catch","1",35793.8162080674
2021,"F.msy","catch","1",45042.7863872745
2022,"F.msy","catch","1",56665.1011420813
2023,"F.msy","catch","1",71598.2284240625
2024,"F.msy","catch","1",85691.8408522513
2025,"F.msy","catch","1",101254.948159931
2026,"F.msy","catch","1",114284.837488973
2027,"F.msy","catch","1",118351.904268415
2028,"F.msy","catch","1",116283.406871834
2029,"F.msy","catch","1",109058.48130757
2030,"F.msy","catch","1",99665.0880570913
2031,"F.msy","catch","1",93358.7464549266
2032,"F.msy","catch","1",90194.5398791915
2033,"F.msy","catch","1",89049.4534401426
2034,"F.msy","catch","1",88996.2078691777
2035,"F.msy","catch","1",84874.1910434392
1975,"F.msy","fbar","1",0.089066749692643
1976,"F.msy","fbar","1",0.11247533597444
1977,"F.msy","fbar","1",0.125970218638729
1978,"F.msy","fbar","1",0.110208989179189
1979,"F.msy","fbar","1",0.0991079806199135
1980,"F.msy","fbar","1",0.116021574889724
1981,"F.msy","fbar","1",0.219142575450221
1982,"F.msy","fbar","1",0.202425996756105
1983,"F.msy","fbar","1",0.194917589634262
1984,"F.msy","fbar","1",0.20532105221692
1985,"F.msy","fbar","1",0.178654776108418
