"year","scenario","variable","iter","value"
2002,"F.low","ssb","3",99691.9925241935
2003,"F.low","ssb","3",114414.708830356
2004,"F.low","ssb","3",152445.188458989
2005,"F.low","ssb","3",194529.345422942
2006,"F.low","ssb","3",181703.152918474
2007,"F.low","ssb","3",142550.317777381
2008,"F.low","ssb","3",121897.378044074
2009,"F.low","ssb","3",118893.324910271
2010,"F.low","ssb","3",116822.841636139
2011,"F.low","ssb","3",110418.463767833
2012,"F.low","ssb","3",74643.3012213781
2013,"F.low","ssb","3",86093.9329466794
2014,"F.low","ssb","3",91986.0393290043
2015,"F.low","ssb","3",84111.3531289474
2016,"F.low","ssb","3",63016.0774390816
2017,"F.low","ssb","3",93511.8378030794
2018,"F.low","ssb","3",147658.912243994
2019,"F.low","ssb","3",173170.606746863
2020,"F.low","ssb","3",190167.431599671
2021,"F.low","ssb","3",198959.805203233
2022,"F.low","ssb","3",205717.797552714
2023,"F.low","ssb","3",193210.658791398
2024,"F.low","ssb","3",218711.028709912
2025,"F.low","ssb","3",247798.811214669
1975,"F.low","ssb","4",202809.887767979
1976,"F.low","ssb","4",300100.259547863
1977,"F.low","ssb","4",330219.168825701
1978,"F.low","ssb","4",307049.031597617
1979,"F.low","ssb","4",296723.512590021
1980,"F.low","ssb","4",234248.486336141
1981,"F.low","ssb","4",200082.543584381
1982,"F.low","ssb","4",164450.255261762
1983,"F.low","ssb","4",123109.92568457
1984,"F.low","ssb","4",95873.1841565485
1985,"F.low","ssb","4",56710.3364321545
1986,"F.low","ssb","4",58758.5815009793
1987,"F.low","ssb","4",49509.7784884709
1988,"F.low","ssb","4",55914.336316292
1989,"F.low","ssb","4",64259.857593183
1990,"F.low","ssb","4",70937.8813589433
1991,"F.low","ssb","4",68244.9635151838
1992,"F.low","ssb","4",72813.0420160413
1993,"F.low","ssb","4",76164.8555046522
1994,"F.low","ssb","4",89336.6786527144
1995,"F.low","ssb","4",110642.965580781
1996,"F.low","ssb","4",107746.456863306
1997,"F.low","ssb","4",113133.385487872
1998,"F.low","ssb","4",135102.90180691
1999,"F.low","ssb","4",129085.954548353
2000,"F.low","ssb","4",86876.1136461711
2001,"F.low","ssb","4",86181.8118392773
2002,"F.low","ssb","4",84259.5006887794
2003,"F.low","ssb","4",105601.134396007
2004,"F.low","ssb","4",147750.066633418
2005,"F.low","ssb","4",188967.85505968
2006,"F.low","ssb","4",172454.440000428
2007,"F.low","ssb","4",115991.94314353
2008,"F.low","ssb","4",118003.924313466
2009,"F.low","ssb","4",109168.056704845
2010,"F.low","ssb","4",100624.328574539
2011,"F.low","ssb","4",100433.050761393
2012,"F.low","ssb","4",81936.7114332843
2013,"F.low","ssb","4",95497.8615332995
2014,"F.low","ssb","4",109927.794876927
2015,"F.low","ssb","4",83968.6240279362
