"year","scenario","variable","iter","value"
1997,"F.msy","catch","1",38522.33936
1998,"F.msy","catch","1",36138.84419
1999,"F.msy","catch","1",27949.14912
2000,"F.msy","catch","1",26107.09943
2001,"F.msy","catch","1",24138.39253
2002,"F.msy","catch","1",24100.78598
2003,"F.msy","catch","1",21620.4976
2004,"F.msy","catch","1",26929.89563
2005,"F.msy","catch","1",20906.72463
2006,"F.msy","catch","1",20475.45238
2007,"F.msy","catch","1",21984.36186
2008,"F.msy","catch","1",27583.67457
2009,"F.msy","catch","1",34163.69678
2010,"F.msy","catch","1",34213.8274
2011,"F.msy","catch","1",54816.06731
2012,"F.msy","catch","1",58732.69835
2013,"F.msy","catch","1",71643.24716
2014,"F.msy","catch","1",82538.66228
2015,"F.msy","catch","1",78012.42535
2016,"F.msy","catch","1",79405.17798
2017,"F.msy","catch","1",82538.66228
2018,"F.msy","catch","1",27218.5707002703
2019,"F.msy","catch","1",25287.0528308596
2020,"F.msy","catch","1",20771.9485885292
2021,"F.msy","catch","1",30014.905168285
2022,"F.msy","catch","1",42180.0211789805
2023,"F.msy","catch","1",53541.3255682124
2024,"F.msy","catch","1",53184.1060039916
2025,"F.msy","catch","1",56042.4624235397
2026,"F.msy","catch","1",69160.7299245744
2027,"F.msy","catch","1",69863.5670283873
1975,"F.msy","catch","2",33887.17076
1976,"F.msy","catch","2",46985.34951
1977,"F.msy","catch","2",54576.48329
1978,"F.msy","catch","2",44820.34257
1979,"F.msy","catch","2",41362.20957
1980,"F.msy","catch","2",48593.03983
1981,"F.msy","catch","2",93559.14384
1982,"F.msy","catch","2",84687.75543
1983,"F.msy","catch","2",83926.9287
1984,"F.msy","catch","2",92723.70925
1985,"F.msy","catch","2",75520.79521
1986,"F.msy","catch","2",79547.10662
1987,"F.msy","catch","2",73428.22243
1988,"F.msy","catch","2",68191.01985
1989,"F.msy","catch","2",71097.69552
1990,"F.msy","catch","2",61881.51723
1991,"F.msy","catch","2",54138.19362
1992,"F.msy","catch","2",40049.74245
1993,"F.msy","catch","2",45885.19472
1994,"F.msy","catch","2",39142.88424
1995,"F.msy","catch","2",41128.88723
1996,"F.msy","catch","2",44309.77398
1997,"F.msy","catch","2",38522.33936
1998,"F.msy","catch","2",36138.84419
1999,"F.msy","catch","2",27949.14912
2000,"F.msy","catch","2",26107.09943
2001,"F.msy","catch","2",24138.39253
2002,"F.msy","catch","2",24100.78598
2003,"F.msy","catch","2",21620.4976
2004,"F.msy","catch","2",26929.89563
2005,"F.msy","catch","2",20906.72463
2006,"F.msy","catch","2",20475.45238
2007,"F.msy","catch","2",21984.36186
2008,"F.msy","catch","2",27583.67457
2009,"F.msy","catch","2",34163.69678
2010,"F.msy","catch","2",34213.8274
2011,"F.msy","catch","2",54816.06731
2012,"F.msy","catch","2",58732.69835
2013,"F.msy","catch","2",71643.24716
2014,"F.msy","catch","2",82538.66228
2015,"F.msy","catch","2",78012.42535
2016,"F.msy","catch","2",79405.17798
2017,"F.msy","catch","2",82538.66228
2018,"F.msy","catch","2",27290.3328417549
2019,"F.msy","catch","2",30095.1787747635
2020,"F.msy","catch","2",30990.595548498
