"year","scenario","variable","iter","value"
1981,"F.sq","fbar","1",0.24309217348439
1982,"F.sq","fbar","1",0.247564785810804
1983,"F.sq","fbar","1",0.2577088338134
1984,"F.sq","fbar","1",0.295082421054244
1985,"F.sq","fbar","1",0.328693361090237
1986,"F.sq","fbar","1",0.27163702015391
1987,"F.sq","fbar","1",0.245460240948638
1988,"F.sq","fbar","1",0.281716873655375
1989,"F.sq","fbar","1",0.312699199826127
1990,"F.sq","fbar","1",0.336178108016228
1991,"F.sq","fbar","1",0.362990651420212
1992,"F.sq","fbar","1",0.368250658648697
1993,"F.sq","fbar","1",0.375843150438385
1994,"F.sq","fbar","1",0.406533394927064
1995,"F.sq","fbar","1",0.45559517989441
1996,"F.sq","fbar","1",0.475931764704588
1997,"F.sq","fbar","1",0.522854175203647
1998,"F.sq","fbar","1",0.53134594815591
1999,"F.sq","fbar","1",0.546919902627979
2000,"F.sq","fbar","1",0.637079211218026
2001,"F.sq","fbar","1",0.72640030899896
2002,"F.sq","fbar","1",0.701477899111281
2003,"F.sq","fbar","1",0.696651560836675
2004,"F.sq","fbar","1",0.638266387230677
2005,"F.sq","fbar","1",0.608158275767381
2006,"F.sq","fbar","1",0.666367404405855
2007,"F.sq","fbar","1",0.776752615080453
2008,"F.sq","fbar","1",0.894979513328208
2009,"F.sq","fbar","1",0.987404958187984
2010,"F.sq","fbar","1",1.19327048564898
2011,"F.sq","fbar","1",1.32811408324639
2012,"F.sq","fbar","1",1.20336943983257
2013,"F.sq","fbar","1",1.08429568493017
2014,"F.sq","fbar","1",1.22424579883034
2015,"F.sq","fbar","1",1.47853064270159
2016,"F.sq","fbar","1",1.48878608974009
2017,"F.sq","fbar","1",2.35791232662086
2018,"F.sq","fbar","1",1.39486987016148
2019,"F.sq","fbar","1",1.14821982081263
2020,"F.sq","fbar","1",0.89729651922484
2021,"F.sq","fbar","1",1.01776125562022
2022,"F.sq","fbar","1",1.47080939835078
2023,"F.sq","fbar","1",2.22894951231787
2024,"F.sq","fbar","1",2.81614293674574
2025,"F.sq","fbar","1",2.95911704689626
2026,"F.sq","fbar","1",2.85562047802447
2027,"F.sq","fbar","1",2.94960278682552
2028,"F.sq","fbar","1",2.78470303549386
2029,"F.sq","fbar","1",3.53964728352905
2030,"F.sq","fbar","1",3.46975805937315
2031,"F.sq","fbar","1",3.05022810430365
2032,"F.sq","fbar","1",3.57164715769004
2033,"F.sq","fbar","1",3.77334790811422
2034,"F.sq","fbar","1",4.29883271852944
2035,"F.sq","fbar","1",4.45254287708679
1975,"F.msy","ssb","1",220584.551944746
1976,"F.msy","ssb","1",285108.733436692
1977,"F.msy","ssb","1",309208.003887672
1978,"F.msy","ssb","1",304280.36763554
1979,"F.msy","ssb","1",286285.842857629
1980,"F.msy","ssb","1",233455.640763176
1981,"F.msy","ssb","1",192592.495456842
1982,"F.msy","ssb","1",154616.480502164
1983,"F.msy","ssb","1",121674.464013433
1984,"F.msy","ssb","1",93989.8377750186
1985,"F.msy","ssb","1",56731.4625595489
1986,"F.msy","ssb","1",60265.7082271169
1987,"F.msy","ssb","1",51783.9739055998
1988,"F.msy","ssb","1",58051.1888803802
1989,"F.msy","ssb","1",65836.2681600989
1990,"F.msy","ssb","1",71903.9567030902
1991,"F.msy","ssb","1",66530.1781415209
1992,"F.msy","ssb","1",70440.5229035325
1993,"F.msy","ssb","1",74210.3116932318
1994,"F.msy","ssb","1",90205.4327680789
1995,"F.msy","ssb","1",114942.035545393
1996,"F.msy","ssb","1",115969.440453971
1997,"F.msy","ssb","1",112718.869674678
1998,"F.msy","ssb","1",127507.70306808
1999,"F.msy","ssb","1",123866.869910297
2000,"F.msy","ssb","1",84442.0923577635
2001,"F.msy","ssb","1",89490.9295011053
2002,"F.msy","ssb","1",99426.4561367882
2003,"F.msy","ssb","1",120171.546960419
2004,"F.msy","ssb","1",158674.215416792
2005,"F.msy","ssb","1",205792.932608302
2006,"F.msy","ssb","1",185007.462871416
2007,"F.msy","ssb","1",133756.310603595
2008,"F.msy","ssb","1",129311.192335309
2009,"F.msy","ssb","1",122981.262203566
2010,"F.msy","ssb","1",110300.973440529
2011,"F.msy","ssb","1",103386.551515499
2012,"F.msy","ssb","1",78075.2662773431
2013,"F.msy","ssb","1",91967.4262914265
2014,"F.msy","ssb","1",105141.912390592
2015,"F.msy","ssb","1",84732.2107877127
2016,"F.msy","ssb","1",63748.0946556938
2017,"F.msy","ssb","1",71530.3875567495
2018,"F.msy","ssb","1",90366.7055184314
2019,"F.msy","ssb","1",119776.164843756
2020,"F.msy","ssb","1",149401.266061485
2021,"F.msy","ssb","1",157668.928543435
2022,"F.msy","ssb","1",153898.57500743
2023,"F.msy","ssb","1",143831.377161499
2024,"F.msy","ssb","1",139688.45320427
2025,"F.msy","ssb","1",132246.152325342
2026,"F.msy","ssb","1",135362.712831543
2027,"F.msy","ssb","1",135836.648538365
2028,"F.msy","ssb","1",132174.958585256
2029,"F.msy","ssb","1",124842.399969337
2030,"F.msy","ssb","1",116128.471666338
2031,"F.msy","ssb","1",119738.070253658
2032,"F.msy","ssb","1",112248.26862207
2033,"F.msy","ssb","1",98571.8576996204
2034,"F.msy","ssb","1",66533.8957421104
2035,"F.msy","ssb","1",51066.9388631324
1975,"F.msy","catch","1",22048.73007
1976,"F.msy","catch","1",28000.72942
1977,"F.msy","catch","1",35565.00354
1978,"F.msy","catch","1",54624.17894
1979,"F.msy","catch","1",50378.17164
1980,"F.msy","catch","1",61323.02223
1981,"F.msy","catch","1",33421.74113
1982,"F.msy","catch","1",36425.17196
1983,"F.msy","catch","1",27200.90601
1984,"F.msy","catch","1",28211.43372
1985,"F.msy","catch","1",45198.39548
1986,"F.msy","catch","1",16446.271
1987,"F.msy","catch","1",4848.318151
1988,"F.msy","catch","1",11623.87497
1989,"F.msy","catch","1",14286.63534
1990,"F.msy","catch","1",14363.17508
1991,"F.msy","catch","1",21371.01332
1992,"F.msy","catch","1",14557.37862
1993,"F.msy","catch","1",14561.88131
1994,"F.msy","catch","1",21424.41375
1995,"F.msy","catch","1",35664.7971
1996,"F.msy","catch","1",30303.80881
1997,"F.msy","catch","1",39040.09087
1998,"F.msy","catch","1",32294.13963
1999,"F.msy","catch","1",29382.57464
2000,"F.msy","catch","1",37952.39043
2001,"F.msy","catch","1",33983.79591
2002,"F.msy","catch","1",26721.01213
2003,"F.msy","catch","1",31172.07829
2004,"F.msy","catch","1",38858.99643
2005,"F.msy","catch","1",57300.94046
2006,"F.msy","catch","1",60802.71836
2007,"F.msy","catch","1",65316.92518
2008,"F.msy","catch","1",49100.95557
2009,"F.msy","catch","1",52268.52301
2010,"F.msy","catch","1",53709.64951
2011,"F.msy","catch","1",45263.0135
2012,"F.msy","catch","1",36044.85372
2013,"F.msy","catch","1",28043.03506
2014,"F.msy","catch","1",31943.05776
2015,"F.msy","catch","1",39736.66714
2016,"F.msy","catch","1",34251.71084
2017,"F.msy","catch","1",31938.263468809
2018,"F.msy","catch","1",12429.2561811356
2019,"F.msy","catch","1",13618.6309922275
2020,"F.msy","catch","1",13001.007290569
2021,"F.msy","catch","1",20533.9521486012
2022,"F.msy","catch","1",33442.1201096475
2023,"F.msy","catch","1",39100.721178228
2024,"F.msy","catch","1",39987.0830766591
2025,"F.msy","catch","1",36626.0730591041
2026,"F.msy","catch","1",31690.889261186
2027,"F.msy","catch","1",29802.5393263312
2028,"F.msy","catch","1",27958.0444996085
2029,"F.msy","catch","1",30206.9052525918
2030,"F.msy","catch","1",29840.5346418643
2031,"F.msy","catch","1",28439.4589991018
2032,"F.msy","catch","1",24742.2026368156
2033,"F.msy","catch","1",26622.6579785318
2034,"F.msy","catch","1",23327.1876562691
2035,"F.msy","catch","1",21367.9037983216
1975,"F.msy","fbar","1",0.181631643280554
1976,"F.msy","fbar","1",0.182586215165939
1977,"F.msy","fbar","1",0.188861005293954
1978,"F.msy","fbar","1",0.217110583020395
1979,"F.msy","fbar","1",0.22858885585128
1980,"F.msy","fbar","1",0.245214181000756
1981,"F.msy","fbar","1",0.24309217348439
1982,"F.msy","fbar","1",0.247564785810804
1983,"F.msy","fbar","1",0.2577088338134
1984,"F.msy","fbar","1",0.295082421054244
1985,"F.msy","fbar","1",0.328693361090237
1986,"F.msy","fbar","1",0.27163702015391
1987,"F.msy","fbar","1",0.245460240948638
1988,"F.msy","fbar","1",0.281716873655375
1989,"F.msy","fbar","1",0.312699199826127
1990,"F.msy","fbar","1",0.336178108016228
1991,"F.msy","fbar","1",0.362990651420212
1992,"F.msy","fbar","1",0.368250658648697
1993,"F.msy","fbar","1",0.375843150438385
1994,"F.msy","fbar","1",0.406533394927064
1995,"F.msy","fbar","1",0.45559517989441
1996,"F.msy","fbar","1",0.475931764704588
1997,"F.msy","fbar","1",0.522854175203647
1998,"F.msy","fbar","1",0.53134594815591
1999,"F.msy","fbar","1",0.546919902627979
2000,"F.msy","fbar","1",0.637079211218026
2001,"F.msy","fbar","1",0.72640030899896
2002,"F.msy","fbar","1",0.701477899111281
2003,"F.msy","fbar","1",0.696651560836675
2004,"F.msy","fbar","1",0.638266387230677
2005,"F.msy","fbar","1",0.608158275767381
2006,"F.msy","fbar","1",0.666367404405855
2007,"F.msy","fbar","1",0.776752615080453
2008,"F.msy","fbar","1",0.894979513328208
2009,"F.msy","fbar","1",0.987404958187984
2010,"F.msy","fbar","1",1.19327048564898
2011,"F.msy","fbar","1",1.32811408324639
2012,"F.msy","fbar","1",1.20336943983257
2013,"F.msy","fbar","1",1.08429568493017
2014,"F.msy","fbar","1",1.22424579883034
2015,"F.msy","fbar","1",1.47853064270159
2016,"F.msy","fbar","1",1.48878608974009
